2025-01-20T09:43:57.222Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:44:04.045Z [INFO]: Registering inventory routes
2025-01-20T09:44:04.054Z [INFO]: Server draait op poort 27017
2025-01-20T09:44:04.058Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:44:06.849Z [INFO]: Registering inventory routes
2025-01-20T09:44:06.858Z [INFO]: Server draait op poort 27017
2025-01-20T09:44:06.862Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:44:09.333Z [INFO]: Registering inventory routes
2025-01-20T09:44:09.340Z [INFO]: Server draait op poort 27017
2025-01-20T09:44:09.344Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:44:14.070Z [INFO]: Registering inventory routes
2025-01-20T09:44:14.082Z [INFO]: Server draait op poort 27017
2025-01-20T09:44:14.085Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:44:16.595Z [INFO]: Registering inventory routes
2025-01-20T09:44:16.603Z [INFO]: Server draait op poort 27017
2025-01-20T09:44:16.607Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:44:27.696Z [INFO]: Registering inventory routes
2025-01-20T09:44:27.705Z [INFO]: Server draait op poort 27017
2025-01-20T09:44:27.709Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:44:29.220Z [INFO]: Registering inventory routes
2025-01-20T09:44:29.228Z [INFO]: Server draait op poort 27017
2025-01-20T09:44:29.232Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:44:34.681Z [INFO]: Registering inventory routes
2025-01-20T09:44:34.689Z [INFO]: Server draait op poort 27017
2025-01-20T09:44:34.693Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:44:48.013Z [INFO]: Registering inventory routes
2025-01-20T09:44:48.022Z [INFO]: Server draait op poort 27017
2025-01-20T09:44:48.027Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:44:51.001Z [INFO]: Registering inventory routes
2025-01-20T09:44:51.010Z [INFO]: Server draait op poort 27017
2025-01-20T09:44:51.014Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:44:58.777Z [INFO]: Registering inventory routes
2025-01-20T09:44:58.787Z [INFO]: Server draait op poort 27017
2025-01-20T09:44:58.791Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:45:02.496Z [INFO]: Registering inventory routes
2025-01-20T09:45:02.504Z [INFO]: Server draait op poort 27017
2025-01-20T09:45:02.508Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:45:03.967Z [INFO]: Registering inventory routes
2025-01-20T09:45:03.976Z [INFO]: Server draait op poort 27017
2025-01-20T09:45:03.980Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:45:07.416Z [INFO]: Registering inventory routes
2025-01-20T09:45:07.424Z [INFO]: Server draait op poort 27017
2025-01-20T09:45:07.428Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:45:09.803Z [INFO]: Registering inventory routes
2025-01-20T09:45:09.811Z [INFO]: Server draait op poort 27017
2025-01-20T09:45:09.815Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:45:23.744Z [INFO]: Registering inventory routes
2025-01-20T09:45:23.753Z [INFO]: Server draait op poort 27017
2025-01-20T09:45:23.757Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:45:25.671Z [INFO]: Registering inventory routes
2025-01-20T09:45:25.680Z [INFO]: Server draait op poort 27017
2025-01-20T09:45:25.684Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:45:27.961Z [INFO]: Registering inventory routes
2025-01-20T09:45:27.969Z [INFO]: Server draait op poort 27017
2025-01-20T09:45:27.974Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:47:52.278Z [INFO]: Registering inventory routes
2025-01-20T09:47:52.288Z [INFO]: Server draait op poort 27017
2025-01-20T09:47:52.291Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:48:01.232Z [INFO]: Registering inventory routes
2025-01-20T09:48:01.241Z [INFO]: Server draait op poort 27017
2025-01-20T09:48:01.246Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:59:54.060Z [INFO]: Registering inventory routes
2025-01-20T09:59:54.074Z [INFO]: Server draait op poort 27017
2025-01-20T09:59:54.079Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:59:55.288Z [INFO]: Registering inventory routes
2025-01-20T09:59:55.297Z [INFO]: Server draait op poort 27017
2025-01-20T09:59:55.301Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T10:03:27.620Z [INFO]: Registering inventory routes
2025-01-20T10:03:27.630Z [INFO]: Server draait op poort 27017
2025-01-20T10:03:27.634Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T10:03:28.854Z [INFO]: Registering inventory routes
